Lower.Income,Upper.Income,Examination.Coverage,Coverage.Factor.wrt.Overall
NA,NA,0.84                   ,1
0,1,3.78                   ,4.5
1,25000,1.01                   ,1.202380952
25000,50000,0.50                   ,0.595238095
50000,75000,0.47                   ,0.55952381
75000,100000,0.49                   ,0.583333333
100000,200000,0.64                   ,0.761904762
200000,500000,1.54                   ,1.833333333
500000,1000000,3.81                   ,4.535714286
1000000,5000000,8.42                   ,10.02380952
5000000,10000000,19.44                   ,23.14285714
10000000,Inf,34.69                   ,41.29761905
