"person.id","household.id","age","gender","worker","relationship.to.hh","is.hh","income","prop.hideable.income","filing.status","zipcode","lon","lat","self.employed","perceivedtaxrate","preptaxes.cpa","per.audit.rate","per.penalty.rate","m","s","c1.tri.dist.dist","c1.alp.majority.fit","c1.alp.fit","actor.logical","tax.ids","tax.rate","household.size","num.dependents","self.employed.propensity"
2000177,2000052,40,1,1,1,1,83313,0.0736952,"Married.Filing.Jointly",97229,-122.826417792418,45.5450626015267,FALSE,0.24,FALSE,0.098,0.19,0.0659280137085683,0.738101142152146,0,0,0.07,TRUE,1,0.148,4,3,0.309893846190593
2000183,2000054,37,1,1,1,1,106474,1,"Married.Filing.Jointly",97229,-122.824010482538,45.5570708269028,TRUE,0.25,FALSE,0.0289,0.07,0.0470011311597071,0.633120493485284,0.02,0.01,0.17,FALSE,2,0.17,5,4,0.246640369279504
2000251,2000073,49,1,1,1,1,159199,1,"Married.Filing.Jointly",97229,-122.82952613165,45.5634924327823,TRUE,0.24,FALSE,0.00101,0.03,0.0344142944898126,0.700415469652667,0.06,0.26,0.35,FALSE,3,0.198,2,1,0.555854285432575
2000468,2000136,36,0,1,1,1,174965,0.12801428,"Married.Filing.Jointly",97229,-122.817574628715,45.5594640094443,FALSE,0.3,TRUE,0.33,0.1,0.0397532666736126,0.77276468622105,0,0,0.07,FALSE,4,0.206,4,3,0.19757400131767
2000475,2000139,66,1,1,1,1,137776,0.12801428,"Married.Filing.Jointly",97229,-122.82413711574,45.5509773104408,FALSE,0.21,TRUE,0.0289,0.03,0.0388152776798112,0.871217124603293,0.01,0,0.13,FALSE,5,0.189,2,1,0.68564738921517
2000510,2000151,49,1,1,1,1,101926,1,"Married.Filing.Jointly",97229,-122.82837511023,45.5560198445969,TRUE,0.23,TRUE,0.0183,0.04,0.0417507656336596,0.709222128874153,0.02,0,0.15,FALSE,6,0.167,2,1,0.387929023126855
2000604,2000176,29,1,1,1,1,754891,0.28328292,"Married.Filing.Jointly",97229,-122.826030001957,45.5466101945947,FALSE,0.32,TRUE,1e-05,0.06,0.0306771817437567,0.629836495363558,0.04,0.16,0.26,FALSE,7,0.324,3,2,0.199210900400786
2000610,2000178,40,1,1,1,1,92256,0.0736952,"Married.Filing.Jointly",97229,-122.823314247884,45.5551885332207,FALSE,0.24,FALSE,0.098,0.19,0.064542913523303,0.735214015972458,0.01,0,0.12,FALSE,8,0.158,3,2,0.509639290071298
2000659,2000196,49,1,1,1,1,54787,1,"Single",97229,-122.830897705961,45.5641920515818,TRUE,0.23,FALSE,0.0289,0.05,0.0459275819090558,0.71504080470621,0.07,0.31,0.42,FALSE,9,0.173,3,2,0.383957527205653
2000671,2000200,42,1,1,1,1,136816,0.12801428,"Married.Filing.Jointly",97229,-122.824022581063,45.5556576811254,FALSE,0.25,FALSE,0.053,0.12,0.0516165701133176,0.728993396690728,0.01,0,0.14,FALSE,10,0.188,4,3,0.498733045759118
2000720,2000215,51,1,2,1,1,93010,0.0736952,"Married.Filing.Jointly",97229,-122.830972466528,45.5602002018923,FALSE,0.23,FALSE,0.072,0.09,0.0547085244690163,0.803852061892765,0.02,0.01,0.18,FALSE,11,0.159,5,4,0.294552200742891
2000767,2000230,35,1,1,1,1,81756,0.0736952,"Married.Filing.Jointly",97229,-122.82952613165,45.5634924327823,FALSE,0.25,TRUE,0.16,0.27,0.0712642185088577,0.704998503030656,0.04,0.14,0.26,FALSE,12,0.146,5,4,0.282884106335914
2000876,2000263,43,1,1,1,1,87177,0.0736952,"Married.Filing.Jointly",97229,-122.818409533978,45.5552483497555,FALSE,0.24,FALSE,0.098,0.15,0.063219990456708,0.759734067912412,0.01,0,0.11,FALSE,13,0.153,5,4,0.364952442045972
2000909,2000271,58,1,1,1,1,181040,1,"Married.Filing.Jointly",97229,-122.825401923433,45.5475588483844,TRUE,0.23,TRUE,4e-04,0.01,0.0320371394459097,0.782103671432003,0,0,0.05,FALSE,14,0.208,4,3,0.681911529958195
2001146,2000338,58,1,1,1,1,131675,0.12801428,"Married.Filing.Jointly",97229,-122.827435493589,45.5515674092181,FALSE,0.22,TRUE,0.0392,0.06,0.0436820836555137,0.83435301861172,0.06,0.28,0.38,FALSE,15,0.186,5,4,0.493581855217186
2001170,2000344,58,1,1,1,1,217644,1,"Married.Filing.Jointly",97229,-122.817798567653,45.5595543772611,TRUE,0.23,FALSE,0.00025,0.01,0.0312020653358967,0.785734830511684,0,0,0,FALSE,16,0.22,2,1,0.540739553095882
2001298,2000379,40,1,1,1,1,119445,1,"Married.Filing.Jointly",97229,-122.83104644388,45.5671536113376,TRUE,0.25,TRUE,0.0183,0.06,0.0433716073214792,0.642181752071817,0.04,0.11,0.25,FALSE,17,0.179,6,5,0.283750209986487
2001569,2000485,35,1,1,1,1,47615,0.06694602,"Married.Filing.Jointly",97229,-122.83982405025,45.563318314402,FALSE,0.25,TRUE,0.21,0.31,0.0761630174116437,0.716367492500121,0.02,0,0.15,TRUE,18,0.13,4,3,0.312842034578869
2001597,2000492,43,1,1,1,1,121431,0.08724689,"Head.of.Household",97229,-122.83564735085,45.5498963215008,FALSE,0.24,FALSE,0.072,0.12,0.0541594900389316,0.742493356665166,0.04,0.14,0.26,FALSE,19,0.203,2,1,0.487656094556514
2001603,2000495,28,0,1,1,1,30959,0.06869751,"Single",97229,-122.837637321551,45.5533105669031,FALSE,0.29,TRUE,0.71,0.5,0.0678330622320858,0.755689006580446,0.03,0.03,0.21,FALSE,20,0.135,2,1,0.124983992632162
2001644,2000513,57,1,1,1,1,76524,0.0736952,"Married.Filing.Jointly",97229,-122.831934851865,45.548990814092,FALSE,0.22,TRUE,0.072,0.07,0.0528595963210633,0.837751981599452,0.07,0.32,0.45,FALSE,21,0.139,2,1,0.540643721625821
2001660,2000519,37,1,1,1,1,64398,0.06694602,"Married.Filing.Jointly",97229,-122.838741056665,45.5598063855816,FALSE,0.25,FALSE,0.16,0.24,0.0715250377657857,0.723930942481834,0,0,0.05,FALSE,22,0.135,2,1,0.266579166560162
2001782,2000566,33,1,1,1,1,49224,1,"Single",97229,-122.839072817299,45.5580471495066,TRUE,0.25,FALSE,0.0392,0.1,0.0571536348835957,0.626031711640284,0.06,0.27,0.36,FALSE,23,0.164,4,3,0.298048746195834
2001924,2000618,66,1,1,1,1,14714,0.08494558,"Married.Filing.Jointly",97229,-122.832576804719,45.5558505594347,FALSE,0.19,FALSE,0.098,0.06,0.0537124355942096,0.881997724197019,0.06,0.28,0.38,FALSE,24,0.1,2,1,0.638416926503632
2002002,2000649,55,1,1,1,1,254830,1,"Married.Filing.Jointly",97229,-122.863853126211,45.5590244801431,TRUE,0.25,FALSE,1e-05,0.01,0.0306188426787899,0.763397548623414,0.02,0,0.15,FALSE,25,0.233,2,1,0.311783761957836
2002008,2000652,25,0,1,1,1,23721,0.07314362,"Married.Filing.Jointly",97229,-122.834930700548,45.546132844964,FALSE,0.29,FALSE,1,1.05,0.0728105881503807,0.742709651998288,0,0,0,FALSE,26,0.11,2,1,0.155166069153729
2002085,2000679,29,1,1,1,1,23094,0.07314362,"Married.Filing.Jointly",97229,-122.84871570699,45.5585553841721,FALSE,0.26,FALSE,0.29,1.05,0.089957853962476,0.694190905408623,0.03,0.02,0.2,TRUE,27,0.109,2,1,0.246652482873961
2002303,2000759,39,1,1,1,1,14982,0.06694602,"Married.Filing.Separately",97229,-122.831257361356,45.5514921091465,FALSE,0.24,FALSE,0.21,0.27,0.078563568164036,0.756731725075936,0.03,0.07,0.23,FALSE,28,0.119,2,0,0.351513388278201
2002304,2000759,38,0,1,1,1,14987,0.06694602,"Married.Filing.Separately",97229,-122.831257361356,45.5514921091465,FALSE,0.27,TRUE,0.71,0.22,0.0626110362620012,0.817719802598582,0.01,0,0.1,FALSE,29,0.119,2,0,0.25256281111286
2002310,2000761,49,0,2,1,1,226417,0.12801428,"Married.Filing.Jointly",97229,-122.841940441989,45.563951334785,FALSE,0.28,FALSE,0.21,0.04,0.0322498534636562,0.849457882957805,0.03,0.01,0.19,FALSE,30,0.222,2,1,0.44571812197957
2002478,2000822,67,1,2,1,1,31490,0.06869751,"Married.Filing.Jointly",97229,-122.842499578895,45.5596676127383,FALSE,0.2,TRUE,0.072,0.05,0.0503845342634287,0.883527093867116,0.03,0.02,0.2,FALSE,31,0.12,2,1,0.592498517860578
2002521,2000839,41,1,1,1,1,192481,0.12801428,"Married.Filing.Jointly",97229,-122.832580113849,45.5560305852412,FALSE,0.26,TRUE,0.0289,0.09,0.0442026659135846,0.708907177530988,0.02,0.01,0.19,FALSE,32,0.212,2,1,0.500859210162049
2002560,2000855,42,1,1,1,1,90707,1,"Married.Filing.Jointly",97229,-122.840088423292,45.5541421210811,TRUE,0.24,FALSE,0.0289,0.06,0.0468622661740899,0.65514268435356,0.04,0.16,0.27,TRUE,33,0.157,4,3,0.373047742233293
2002691,2000900,39,1,1,1,1,155159,0.12801428,"Married.Filing.Jointly",97229,-122.840239013615,45.5638454560765,FALSE,0.26,FALSE,0.053,0.13,0.0501530350080302,0.698535998707252,0.01,0,0.13,FALSE,34,0.196,2,1,0.361304743741379
2002700,2000904,27,1,1,1,1,25788,0.07314362,"Married.Filing.Jointly",97229,-122.837948941101,45.5509797364521,FALSE,0.26,FALSE,0.29,1.33,0.091612357227263,0.680629181091711,0,0,0.09,FALSE,35,0.113,2,1,0.278086339060456
2002918,2000987,63,1,1,1,1,109766,0.08724689,"Married.Filing.Jointly",97229,-122.838661161358,45.5505621954694,FALSE,0.21,FALSE,0.053,0.04,0.0445199817539873,0.861941169925444,0,0,0.08,FALSE,36,0.173,2,1,0.486532882007946
2002982,2001010,31,1,1,1,1,145991,0.12801428,"Married.Filing.Jointly",97229,-122.86321761297,45.5611299645751,FALSE,0.27,FALSE,0.072,0.22,0.058158590014146,0.647493040221648,0,0,0.03,FALSE,37,0.192,5,4,0.315021623646301
