"person.id","household.id","age","gender","worker","relationship.to.hh","is.hh","income","prop.hideable.income","filing.status","zipcode","lon","lat","self.employed","perceivedtaxrate","preptaxes.cpa","per.audit.rate","per.penalty.rate","c1","m","s","c1.tri.dist.dist","c1.alp.majority.fit","c1.alp.fit","actor.logical","tax.ids","tax.rate","household.size","num.dependents","self.employed.propensity"
2000183,2000054,37,1,1,1,1,114800,0.08724689,"Married.Filing.Jointly",97229,-122.824010482538,45.5570708269028,FALSE,0.25,FALSE,0.099,0.16,0.09,0.0615443145869697,0.708076886210467,0,0,0.06,FALSE,1,0.176,5,4,0.246640369279504
2000876,2000263,43,1,1,1,1,90574,0.0736952,"Married.Filing.Jointly",97229,-122.818409533978,45.5552483497555,FALSE,0.24,FALSE,0.099,0.14,0.18,0.0610633178326266,0.762385200490389,0.02,0.01,0.16,FALSE,2,0.156,5,4,0.536944010271193
2001569,2000485,35,1,1,1,1,50337,0.06694602,"Single",97229,-122.83982405025,45.563318314402,FALSE,0.25,FALSE,0.21,0.29,0.43,0.0735239608801824,0.714497503400382,0.06,0.26,0.33,TRUE,3,0.166,4,3,0.434239665363784
2001644,2000513,57,1,1,1,1,77149,1,"Married.Filing.Jointly",97229,-122.831934851865,45.548990814092,TRUE,0.22,FALSE,0.0158,0.02,0.06,0.0381699550739331,0.780574624544792,0,0,0.04,FALSE,4,0.14,2,1,0.592455860325004
2002303,2000759,39,1,1,1,1,16257,0.06694602,"Married.Filing.Separately",97229,-122.831257361356,45.5514921091465,FALSE,0.24,TRUE,0.21,0.26,0.16,0.0758751883118142,0.757697444069546,0.01,0,0.13,TRUE,5,0.121,2,1,0.308100095445404
2004487,2001573,47,1,1,1,1,22443,1,"Married.Filing.Jointly",97229,-122.848079349719,45.5545850780587,TRUE,0.23,TRUE,0.0395,0.06,0.18,0.0492235491004272,0.707194384731505,0.02,0,0.15,TRUE,6,0.108,4,3,0.560597906647672
2004813,2001695,63,1,2,1,1,32812,0.06869751,"Single",97229,-122.854203480546,45.5808580610402,FALSE,0.2,TRUE,0.099,0.06,0.23,0.0525042978546923,0.871089361761826,0.03,0.01,0.2,FALSE,7,0.136,2,1,0.545631749829993
2004958,2001754,27,1,1,1,1,42239,0.06869751,"Married.Filing.Jointly",97229,-122.861794598092,45.5593280436736,FALSE,0.26,FALSE,0.21,1.43,0.15,0.0869518797972747,0.675074410980387,0.01,0,0.12,FALSE,8,0.128,2,1,0.235818682375788
2007332,2002639,42,1,2,1,1,248523,0.12801428,"Married.Filing.Jointly",97006,-122.858861329303,45.5471775377461,FALSE,0.26,TRUE,0.0158,0.09,0.59,0.0381505319471982,0.712061474376183,0.07,0.33,0.41,FALSE,9,0.231,5,4,0.307795446214928
2007717,2002751,33,1,1,1,1,393687,0.28328292,"Married.Filing.Jointly",97006,-122.861673199229,45.5419603592008,FALSE,0.28,FALSE,0.0158,0.1,0.17,0.0364285862650177,0.638712347612052,0.02,0,0.14,FALSE,10,0.268,4,3,0.274995143568438
2007789,2002774,38,1,1,1,1,132598,0.08724689,"Married.Filing.Jointly",97006,-122.857726349533,45.5451373890268,FALSE,0.25,TRUE,0.073,0.16,0.21,0.0567870419738305,0.707933130516038,0.02,0.01,0.19,FALSE,11,0.186,4,3,0.323218731074318
2007958,2002825,33,1,1,1,1,239280,0.12801428,"Married.Filing.Jointly",97229,-122.865244665781,45.55311244198,FALSE,0.27,FALSE,0.025,0.13,0.3,0.0445900975732822,0.645595761623033,0.04,0.15,0.25,FALSE,12,0.227,3,2,0.407115154027038
2007998,2002835,31,1,1,1,1,86076,0.0736952,"Married.Filing.Jointly",97006,-122.863815414901,45.5470530357792,FALSE,0.26,FALSE,0.13,0.42,0.14,0.0719116918871726,0.676972014525434,0.01,0,0.11,FALSE,13,0.152,3,2,0.196109284347565
2008028,2002846,31,1,1,1,1,15471,0.08494558,"Married.Filing.Jointly",97229,-122.86420632691,45.5549519272559,FALSE,0.25,FALSE,0.29,0.88,0.07,0.0877216404318848,0.711812737117148,0,0,0.05,FALSE,14,0.1,4,3,0.27843443042631
2008785,2003070,45,1,1,1,1,76844,1,"Married.Filing.Jointly",97006,-122.861412765367,45.5416045012777,TRUE,0.23,FALSE,0.025,0.06,0.48,0.045252005334721,0.683236796103229,0.06,0.27,0.35,FALSE,15,0.14,2,1,0.478669725786176
2009176,2003187,39,1,1,1,1,41257,1,"Single",97006,-122.858323658173,45.5409121299284,TRUE,0.24,TRUE,0.0395,0.09,0,0.05280398421812,0.644859012489183,0,0,0,FALSE,16,0.148,4,3,0.411863713498077
2010283,2003780,32,1,1,1,1,35308,0.06869751,"Single",97006,-122.876073804314,45.5458248452414,FALSE,0.25,FALSE,0.21,0.61,0.28,0.0796408034594601,0.699916503999414,0.04,0.08,0.23,TRUE,17,0.137,1,0,0.302430224447529
2011366,2004182,27,0,1,1,1,43786,0.06869751,"Head.of.Household",97006,-122.871527412924,45.5520485552395,FALSE,0.29,FALSE,0.72,0.54,0.19,0.0655889514503614,0.749594752194447,0.02,0.01,0.16,FALSE,18,0.135,2,1,0.166453164494809
2011511,2004238,41,0,2,1,1,29716,0.0736952,"Married.Filing.Separately",97104,-122.877691177503,45.5578880007051,FALSE,0.27,TRUE,0.46,0.14,0.31,0.0561665375063599,0.831271159377798,0.04,0.16,0.25,FALSE,19,0.134,5,4,0.198283754364339
2011665,2004293,35,0,2,1,1,102413,0.0736952,"Married.Filing.Jointly",97104,-122.878926937345,45.5582043536595,FALSE,0.28,TRUE,0.39,0.16,0.23,0.0520352695800279,0.789337330069132,0.03,0.02,0.2,FALSE,20,0.167,4,3,0.363924612431378
